u,v,key,street_name,traffic_volume,relative_traffic
108603803,4195371881,0,Gold Key Road,10,0.004743833017077799
108603803,108658788,0,Johnson Road,10,0.004743833017077799
108603828,108603837,0,Gold Key Road,50,0.023719165085388995
108603828,108669979,0,Northwynd Drive,40,0.018975332068311195
108603837,108603890,0,Gold Key Road,80,0.03795066413662239
108603837,108707426,0,Inverness Court,14,0.006641366223908918
108603925,108603942,0,Gold Key Road,442,0.20967741935483872
108603925,108606149,0,Robin Run Road,26,0.012333965844402278
108603942,108739617,0,Sunnylands Road,74,0.03510436432637571
108603981,108616688,0,Yale Place,14,0.006641366223908918
108603981,108604015,0,Gold Key Road,556,0.2637571157495256
108604015,108616731,0,Yale Road,12,0.0056925996204933585
108604015,108616039,0,Yale Road,128,0.06072106261859583
108604015,108604037,0,Gold Key Road,704,0.33396584440227706
108604037,108616731,0,Beach Road,18,0.008538899430740038
108604037,108696032,0,Beach Road,74,0.03510436432637571
108604037,108604053,0,Gold Key Road,814,0.38614800759013285
108604053,108616741,0,Slaymaker Road,152,0.07210626185958255
108604098,108669820,0,Cromwell Road,24,0.011385199240986717
108604098,108604101,0,Gold Key Road,1260,0.5977229601518027
108604101,108665617,0,Orange Blossom Road,360,0.17077798861480076
108604101,108604105,0,Gold Key Road,1620,0.7685009487666035
108604105,108604112,0,Gold Key Road,2002,0.9497153700189753
108604105,7781339872,0,Peach Road,360,0.17077798861480076
108604112,108633372,0,Indian Pipe Terrace,60,0.028462998102466792
108604112,108604123,0,Gold Key Road,2072,0.9829222011385199
108604123,108606314,0,Arbor Drive,30,0.014231499051233396
108604123,108604145,0,Gold Key Road,2108,1.0
108606314,108606334,0,Arbor Drive,18,0.008538899430740038
108606334,108652590,0,Orange Blossom Road,350,0.16603415559772297
108606334,108665617,0,Orange Blossom Road,360,0.17077798861480076
108606456,108606464,0,Otter Lane,4,0.0018975332068311196
108606464,108616741,0,Slaymaker Road,128,0.06072106261859583
108606464,108665628,0,Slaymaker Road,116,0.05502846299810247
108607097,7781339745,0,Hazelnut Court,0,0.0
108607097,108628772,0,White Pine Drive,16,0.007590132827324478
108614483,108614486,0,Spruce Drive,84,0.03984819734345351
108614483,108615918,0,Butternut Road,160,0.07590132827324478
108614486,108711771,0,Spruce Court,10,0.004743833017077799
108614541,108695825,0,Butternut Road,18,0.008538899430740038
108615914,108615918,0,North Forrest Drive,2,0.0009487666034155598
108615944,108728365,0,Lancaster Road,34,0.016129032258064516
108616021,108616039,0,North Forrest Drive,12,0.0056925996204933585
108616021,108630490,0,Vicar Way,34,0.016129032258064516
108616257,108658852,0,Northwynd Drive,58,0.027514231499051234
108616688,108616759,0,Yale Place,22,0.010436432637571158
108616731,108616741,0,Yale Road,2,0.0009487666034155598
108616752,108616759,0,Yale Road,22,0.010436432637571158
108616752,108739617,0,Sunnylands Road,12,0.0056925996204933585
108616752,108695825,0,Sunnylands Road; Walnut Road,14,0.006641366223908918
108629514,7781461223,0,Bluejay Court,4,0.0018975332068311196
108629514,108666873,0,Orange Blossom Road,316,0.14990512333965844
108630490,7781339744,0,Kiel Road,2,0.0009487666034155598
108630490,108696032,0,Kiel Road,40,0.018975332068311195
108633372,108665617,0,Indian Pipe Terrace,10,0.004743833017077799
108645722,108645731,0,Millstone Court,6,0.0028462998102466793
108645722,108658793,0,Rustic Way,14,0.006641366223908918
108645722,108711681,0,Millstone Court,30,0.014231499051233396
108652590,108652593,0,Pom Pom Court,8,0.003795066413662239
108655423,108683391,0,Black Forest Drive; Birches End Lane,16,0.007590132827324478
108658788,108658793,0,Johnson Road,4,0.0018975332068311196
108658788,108669979,0,Woodland Road,12,0.0056925996204933585
108658793,108658852,0,Johnson Road,22,0.010436432637571158
